price,car name,variant,mileage,first registration,horse power
€ 390.-,Renault Clio,1.4 RT Klima Servo,158000,08/1999,75
€ 450.-,Opel Agila,1.0 12V Comfort Tüv 07/2021,268500,09/2002,58
€ 490.-,Ford Ka/Ka+,KA /Pano/AUX/USB/Ohne TÜV,203463,08/2002,60
€ 490.-,Audi A3,1.8,222000,10/1999,125
€ 499.-,Citroen C5,Kombi 2.2 HDI Exclusive Automatik PDC Alu Kli,206000,08/2003,133
€ 499.-,Ford Fiesta,"1.25 Futura 55 kW (75 PS), Schaltgetriebe, Fron...",189137,07/2000,75
€ 500.-,Ford Mondeo,2.0 Turbo TDCi Trend EXPORT!!!,300882,04/2004,116
€ 500.-,Ford Mondeo,2.0 Turbo TDCi Trend EXPORT!!!,300882,04/2004,116
€ 500.-,Skoda Octavia,Combi 2.0 Elegance Klima AHK SHZ,245000,11/1999,116
€ 599.-,Opel Corsa,"C *TÜV-09/2021,RADIO,8-FACH-BEREIFT* Basis",120000,02/2004,69
€ 599.-,Opel Corsa,"C *KLIMA,KAMERA,CD,MFL,USB,AUX* Basis",129889,02/2002,58
€ 599.-,Volkswagen Passat,1.9TDI Festpreis,324000,12/2002,131
€ 599.-,Renault Twingo,1.2 Privilege Faltschiebedach,180000,11/2001,75
€ 650.-,Volkswagen Polo,SD Servo ABS TÜV 04/2022,104000,04/1999,60
€ 699.-,Volkswagen Polo,1.2 Klimaanlage,234000,01/2002,64
€ 750.-,Saab 900,2.0i Cabrio S Leder Klima SHZ Tempomat,220000,03/1995,131
€ 750.-,Opel Astra,1.6 Fresh Klima kein Tüv,150000,11/2002,101
€ 750.-,Renault Twingo,1.2 Privilege Faltschiebedach,180000,11/2001,75
€ 799.-,Mazda 6,DPF Top Sport Kombi Xenon,238000,09/2006,143
€ 850.-,SEAT Leon,"1.9 TDi CLIM, ATT REMORQUE, JANTES ALU",401815,10/2004,110
€ 890.-,Mazda 6,Kombi 2.3 Top,194590,04/2005,166
€ 899.-,Opel Astra,1.2 RCD+4xAirb+EURO4+el.Fenster+AluAllwett,102430,10/2000,75
€ 899.-,Nissan Primera,2.2 D Klima AHK Kein TÜV !!!,150000,02/2003,126
€ 899.-,Honda Civic,CD/RADIO AIRBAG USB AUX,236000,05/2001,-
€ 900.-,Skoda Octavia,Combi 1.9 TDI Klimaauto. SHZ Tempomat,448000,07/2000,110
€ 949.-,Honda CR-V,EFH/2.Hand/TÜV/ASU/FAHRTÜCHTIG,245000,01/1999,128
€ 950.-,Renault Scenic,1.6 16V RXE*Klima*Alu*,175778,02/2000,107
€ 950.-,Mitsubishi Colt,1.3 Comfort*Klima*HU 08.2021*TOP*,154684,07/2002,82
€ 950.-,Opel Meriva,Enjoy,174000,07/2004,101
€ 990.-,SEAT Ibiza,1.2 Amaro,157000,08/2008,69
€ 990.-,Ford Focus,"1.6i SE 16v Tonic CLIM, RADIO CD",211628,04/2003,101
€ 990.-,SEAT Leon,1.6,157000,01/2002,105
€ 990.-,Mazda 323,1.5 88PS ACTIVE+1.HAND+KLIMAANLAGE+RADIO+CD,123855,07/2000,88
€ 990.-,Citroen Berlingo,1.9 D ATTACHE REMORQUE,236409,02/2002,69
€ 990.-,Citroen C2,1.1i Furio,289321,11/2006,60
€ 990.-,Ford Fusion,"1.4 Turbo TDCi Ghia CLIM, JANTES ALU, RADIO CD",182180,05/2004,68
€ 990.-,SEAT Ibiza,1.2 Amaro,157000,08/2008,69
€ 990.-,Volvo V40,2.0 Kombi,242480,06/2001,136
€ 990.-,Audi A6,2.5 Diesel Automatik,239600,10/2002,163
€ 999.-,Daihatsu Cuore,,119000,09/2005,58
€ 999.-,Opel Zafira,"A Selection Executive 2.2 16V 108 kW (147 PS), ...",164183,01/2002,147
€ 999.-,Volkswagen Passat,1.8 T Comfortline Klimaautomatik AHK,350000,01/2001,150
€ 999.-,Jaguar X-Type,KLIMAUTO CD/RADIO,130000,02/2006,196
€ 999.-,Volkswagen Golf,1.4 Comfortline Kupplung neue,245000,10/2000,75
"€ 1,099.-",Volkswagen Lupo,Basis/ TÜV 2022/USB/AUX/Zentralverrieglung,106500,10/1998,50
"€ 1,150.-",Ford Cougar,24V/Klimaaut./SHZ/Vollleder/Schiebedach,164770,05/2000,170
"€ 1,190.-",BMW 316,Baureihe 3 Touring 316i Schiebedach/AHK/Klima,224770,07/2002,116
"€ 1,199.-",Suzuki Swift,Cabrio*Radio*Sehr guter zustand*,140126,08/1994,68
"€ 1,200.-",Mercedes-Benz A 140,A - Klasse A 140. Automatik. Klima,135550,09/2002,82
"€ 1,200.-",Opel Astra,Edition H GTC - MOTORSCHADEN!!!!!,160900,10/2005,90
"€ 1,200.-",Peugeot 206,1.6i 16v Roland Garros,235000,10/2003,109
"€ 1,250.-",Ford Fiesta,1.4 Trend,140000,12/2002,80
"€ 1,250.-",Hyundai Getz,1.6 GLS Automatik Klima,144000,04/2004,105
"€ 1,270.-",Mercedes-Benz A 140,*SITZHEIZUNG+KLIMAANLAGE+FINANZIERUNG+ESP*,125000,09/2001,82
"€ 1,290.-",Volkswagen Passat Variant,Passat 1.9 TDI Variant Basis*Klima*SHZ*Tempomat*,424423,02/2003,101
"€ 1,290.-",Mazda,1.8 Comfort (4-trg.)*ALU*KLIMA*,189000,08/2003,120
"€ 1,290.-",Opel Corsa,"C 1,2 Comfort Automatik Klima Radio/CD",145000,03/2001,75
"€ 1,299.-",Volkswagen Polo,1.9 SDi Base 1°EIG GOEDE STAAT EXPORT OF HANDEL,160000,09/2003,64
"€ 1,350.-",Chrysler Voyager,*GS* Voyager,207000,11/1998,150
"€ 1,390.-",Mercedes-Benz E 270,CDI T-Modell Avantgarde/SHD/Autom./Xenon Sitzhzg.,378000,02/2000,170
"€ 1,390.-",Opel Vectra,"C 2,2 Caravan Edition*Klima*Navi*",196000,03/2005,155
"€ 1,450.-",Chrysler PT Cruiser,2.0i 16v # Très belle !,195227,01/2003,141
"€ 1,490.-",Volkswagen Polo,III Lim. Edition 2.Hd/Pano-Dach,128640,05/2001,50
"€ 1,490.-",Volvo V40,Kombi 1.8 16V ++ RECHTSLENKER ++ LEDER KLIMA,160000,04/2003,122
"€ 1,490.-",Mazda 5,2.0 Diesel,262500,08/2006,110
"€ 1,490.-",BMW 316,ti compact*KLIMAAUT.*ELEKTR. FENSTER*EURO4*,167000,02/2002,116
"€ 1,498.-",SEAT Ibiza,"1,4 / 3-Türer + AHK + Klima + LM",115880,08/1999,60
"€ 1,499.-",Dacia Logan,Laureate * TÜV NEU 04.2023*,155003,06/2005,75
"€ 1,499.-",Volkswagen Golf,1.4 Comfortline Klima Schiebedach,189000,03/1998,75
"€ 1,500.-",Peugeot 206,1.4i XT*CARPASS*GARANTIE 1AN*,179000,03/2001,75
"€ 1,500.-",Mercedes-Benz C 180,T Elegance guter zustand,212000,08/1999,122
"€ 1,540.-",Renault Laguna,II Grandtour 2.0 Privilege,159990,01/2006,135
"€ 1,590.-",Opel Tigra,ALU/Allwetter/Sportpaket/elektrische FH,234500,11/1996,106
"€ 1,599.-",Chevrolet Matiz,0.8 *Radio*5Trg*Scheckheft,91000,01/2010,52
"€ 1,650.-",Audi A6,1.8 T Klimaautomatik Tüv 01/2023,212000,07/1997,150
"€ 1,650.-",Opel Corsa,1.0 12V Klima Servo Tüv 05/2022,112000,03/2003,58
"€ 1,650.-",smart forTwo,Cabrio passion Automatik Leder Navi Klima,170000,09/2003,61
"€ 1,690.-",Audi A3,1.6 Klima / Automatik / EFH / Radio,199000,06/2000,101
"€ 1,690.-",Peugeot 307,SW 110 HU/AU u.Insp. Neu *AKTIONSPREIS*,207320,11/2003,109
"€ 1,700.-",Saab 9-3,1.9 TiD Automatik PDC el.Fenster,180000,10/2004,150
"€ 1,750.-",Saab 9-3,1.9 TiD - Airco - Leder - Radio/CD,266578,08/2007,120
"€ 1,750.-",Honda FR-V,1.7 Comfort 6-Sitzer Klima Tempomat AHK,240000,09/2005,125
"€ 1,799.-",Opel Astra,2.2 Caravan Elegance,182543,05/2001,147
"€ 1,800.-",Land Rover Freelander,Cabrio /hardtop *Scapa Sports*REBUY,307808,05/2002,111
"€ 1,900.-",Suzuki Splash,"55 kW (75 PS), Schaltgetriebe, Frontantrieb",144000,03/2009,75
"€ 1,940.-",Peugeot 406,3.0 V6 Coupe Platinum,244000,03/2001,207
"€ 1,950.-",Volkswagen Polo,1.6 5-Türig*El.Fenster*Schiebedach*,136582,04/1997,75
"€ 1,950.-",Volkswagen Golf,V 1.9 TDI Trendline*Klima*2.Hand*,265653,04/2004,105
"€ 1,950.-",Ford,Transit 1.8 TDDI Connect Kasten,222850,03/2005,75
"€ 1,950.-",Chrysler PT Cruiser,2.0 Limited*Klima*2.Hd*Leder*SHZ*,145000,02/2002,141
"€ 1,950.-",Opel Meriva,Edition 1.6*Unruhiger-Motorlauf*,145000,03/2007,105
"€ 1,950.-",Volkswagen,T4 2.5 Transporter Kasten*Kühlkasten*Fahrkühlung,175101,08/1999,88
"€ 1,970.-",Volkswagen Golf,IV 1.6i Comfortline *KLIMA+PDC+ZV+ELVH+ABS*,246000,08/1999,101
"€ 1,980.-",Opel Signum,Cosmo Leder LPG-GASANLAGE,181000,06/2003,155
"€ 1,980.-",Volvo 960,3.0 Automatik - 3. Hand,295000,06/1997,204
"€ 1,990.-",Opel Omega,"B 2,2 Elegance Aut Leder Xenon *Tüv 05/23*",215474,03/2000,144
"€ 1,990.-",MINI Cooper,Cooper 1.6 16V * NAVI * PARKTRONIC * SITZHEIZUNG *,222500,04/2004,116
"€ 1,990.-",Nissan Micra,1.2 Visia *TÜV Neu *Klima 1.2 65 PS,138250,06/2007,65
"€ 1,990.-",Opel Zafira,1.9 CDTi - 7 PL - GPS - Airco,242001,06/2007,101
"€ 1,990.-",Ford C-Max,"1,8 Automatik Tempomat Getriebe defekt!",106263,01/2006,125
"€ 1,990.-",Mazda 5,2.0 Diesel Anhängerkupplung,225000,08/2007,143
"€ 1,990.-",SEAT Ibiza,Sport Edition 8-FACH BEREIFT AUS 1. HAND,215100,12/2007,86
"€ 1,999.-",Ford Mondeo,"*KLIMA-AUTOM.,SHZ,NAVI,XENON,PDC*",174867,07/2005,155
"€ 1,999.-",BMW 316,3er compact guter Zustand Tüv Neu,146000,12/2001,116
"€ 1,999.-",Dacia Sandero,Ambiance 1.HAND CD/RADIO AUX,86000,05/2009,75
"€ 1,999.-",Volkswagen Polo,IV Goal 1.4 *Klima*PDC*Radio,156300,10/2006,80
"€ 1,999.-",Opel Corsa,1.0 12V Edition Klimaauto. Tüv neu 1.Hand,112000,06/2006,60
"€ 2,100.-",Renault Clio,1.2 Rip Curl +HANDEL/EXPORT+,135178,02/2009,75
"€ 2,150.-",Ford S-Max,"1.8 TDCi Trend CLIM AUTO, ACCOUDOIR, ATT REM",164200,11/2006,125
"€ 2,190.-",BMW 320,"3 TOURING DIESEL TOIT OUV, CLIM AUTO, GPS, ATT REM",294000,01/2006,163
"€ 2,200.-",Mercedes-Benz E 200,E 200 KOMPRESSOR T AVANTGARDE,207000,10/2005,163
"€ 2,250.-",Kia Ceed / cee'd,sw 2.0 CRDi TX Klimaautom SHZ Temp PDCv+h PDC,258000,09/2008,140
"€ 2,280.-",Opel Astra,"H 1.6 GTC Edition Klimaanlage, PDC, Alu",166700,09/2006,105
"€ 2,290.-",Renault Twingo,Dynamique Tüv 09-22 Panorama Klima Servo,149448,12/2007,76
"€ 2,290.-",Peugeot Partner,1.4i 5 places Euro4,182100,11/2006,75
"€ 2,294.-",Ford Focus,Turnier 1.6 TDCi DPF Style+ Navi Sportsitz,202545,05/2010,109
"€ 2,300.-",Citroen C4 Picasso,Export / Handelaar,203000,05/2010,-
"€ 2,300.-",Opel Astra,1.7,155000,12/2010,110
"€ 2,399.-",Opel Corsa,"D Innovation ""110 Jahre"" KLIMAAUTO TEMPO",232000,11/2009,125
"€ 2,450.-",Toyota Avensis,Kombi 1.8 Sol,247950,10/2004,129
"€ 2,450.-",Mercedes-Benz C 200,Sportcoupe C 200 K Sport-Paket Klima Tempomat,190713,03/2004,163
"€ 2,450.-",Mazda 5,2.0 CD Top 7-Sitzer Navi Xenon Klima Tempomat,216000,01/2006,143
"€ 2,450.-",Opel Combo,1.4 Radio AHK eFH ZV Schiebetüren,140000,11/2007,90
"€ 2,450.-",Kia Rio,1.6 EX Gasanlage Klima el.Fenster,179000,03/2006,111
"€ 2,480.-",SEAT Alhambra,1.8 20V Turbo Vigo*Tempomat*PDC*Sitzhzg,227133,05/2006,150
"€ 2,480.-",Volkswagen Bora,2.0 Var. AUTOMATIK GLASSCHIBEDACH AHK KLIMA,160000,06/2003,116
"€ 2,480.-",Mercedes-Benz E 320,T CDI AUT. NAVI BI-XENON SCHIEBEDACH LEDER,340000,02/2004,204
"€ 2,480.-",Mazda MX-3,SD Alu V6 133PS,165000,05/1993,133
"€ 2,490.-",Volkswagen Golf,1.6 Cabrio *Leder * Sitzheizung 1.6 100PS,156250,03/1999,101
"€ 2,490.-",Opel Astra,G 2.2 16V Coupe*Klima*2.Hd*TOP*,178269,09/2000,147
"€ 2,490.-",Renault Twingo,"Dynamique""wird im Kundenauftrag verkauft",129950,10/2007,76
"€ 2,490.-",Volkswagen Polo,"Basis IV (9N1) *HU(TÜV) neu, Inspektion neu*",157500,12/2003,75
"€ 2,490.-",Volvo S40,Lim. 1.6,205390,05/2005,101
"€ 2,490.-",Mercedes-Benz E 250,Diesel T-Modell,249000,01/1995,113
"€ 2,490.-",Mercedes-Benz A 190,A -Klasse A 190 *Rentnerfahrzeug* ALLWETTER*,150935,05/2002,125
"€ 2,499.-",Ford Mondeo,Turnier Viva KLIMAAUTO AHK FEST,142000,03/2005,131
"€ 2,499.-",Mitsubishi Space Star,1.6 98PS Invite 1600 Klimaanlage USB,122357,09/2005,98
"€ 2,590.-",Volkswagen Passat,Klima/Elektrische FH/ZV/Airb./FAHRTÜCHTIG,113859,07/1994,90
"€ 2,599.-",BMW 320,3er touring guter Zustand Tüv Neu,135000,10/1995,150
"€ 2,600.-",Opel Corsa,1.3 CDTi,201000,05/2012,95
"€ 2,600.-",Volkswagen Polo,"Trendline TÜV Neu 59 kW (80 PS), Schaltgetriebe...",197000,01/2008,80
"€ 2,640.-",Ford Fiesta,1.3 Ambiente (Klima+8-fach bereift),115780,03/2006,60
"€ 2,690.-",Ford C-Max,2.0 FUN * AUTOMATIC * AHK * NAVI * SITZHEIZUNG *,128600,12/2005,145
"€ 2,690.-",Nissan X-Trail,2.2 dCi All-Mode 4WD,299950,05/2005,136
"€ 2,699.-",SEAT Ibiza,SC 1.2 Stylance/Style- TÜV bis 04.2022,169000,03/2009,69
"€ 2,750.-",Peugeot 207,1.4i Benzine - Radio,157128,06/2007,73
"€ 2,750.-",Peugeot 207,"1.6 HDi 99g FAP CLIM, VE, RADIO CD",201961,03/2011,90
"€ 2,790.-",Chrysler PT Cruiser,CRD 2.2 Touring PDC LM Tempo Klima,188218,08/2005,150
"€ 2,790.-",Citroen C2,"1.4 HDi VTR RADIO CD, MP3",184711,06/2008,68
"€ 2,799.-",Skoda Roomster,1.2 TSI *Klima* Gern Finanzierung,180000,12/2010,86
"€ 2,799.-",Mercedes-Benz E 320,CDI T Motorschaden ELEGANCE Luft,405000,09/2006,224
"€ 2,800.-",Hyundai Getz,1.1/Klima/EFH/5 trg./1.Hand/,69900,03/2011,67
"€ 2,890.-",Volkswagen Passat Variant,V6 FSI Highline 4Motion 3.2,327000,02/2006,250
"€ 2,900.-",Opel Omega,B 2.6 Executive | Leder | Navi | Xenon,177500,05/2003,179
"€ 2,900.-",Peugeot 207,CC 120 VTi Filou,145000,02/2008,120
"€ 2,900.-",Peugeot Partner,"1,6 Klima MAL Spieg. beheizbar Seitenairb. NSW met",229000,05/2008,90
"€ 2,900.-",Toyota Aygo,"AYGO City 1,0 *NUR 50 TKM*TÜV NEU",50000,09/2005,68
"€ 2,950.-",Audi A3,1.6i 75KW 3 DEURS/AIRCO/DISTRIBUTIE/APK 03/2022,175142,07/2003,102
"€ 2,980.-",Ford Mondeo,GLX Lim. (GD),112465,06/1999,116
"€ 2,980.-",Opel Astra,G Selection Klima Automatik TÜV neu Garantie,116305,08/2001,84
"€ 2,980.-",Peugeot 206,"Cabriolet CC Platinum 1.6 16V 80 kW (109 PS), S...",142087,06/2007,109
"€ 2,985.-",Mitsubishi Colt,1.1 TÜV NEU 8fach bereift,116000,07/2012,75
"€ 2,985.-",Daihatsu Terios,1.5 AHK,170000,08/2006,105
"€ 2,990.-",Volkswagen Golf,IV Variant Highline,59817,11/1999,116
"€ 2,990.-",Volkswagen Golf,"III ""Joker"" 1,8 Automatik 1.Hand Wenig KM",105300,04/1997,75
"€ 2,990.-",Volvo V50,2.4i Kombi Summum/NAVI/XENON/SHZ/LEDER/AHK,159310,04/2005,170
"€ 2,990.-",Ford Focus,1.6 CDTI Style+ SITZHEIZUNG+TÜV 06 2023,218450,05/2011,90
"€ 2,990.-",Fiat,Ducato 1.9 280L Verkaufswagen,376024,12/1989,82
"€ 2,990.-",Citroen Nemo,"1.3 HDi 75cv, utilitaire, très propre",135000,04/2013,75
"€ 2,990.-",Ford Focus,Klima/ALU/Bastlerfahrzeug/Export,99999,09/2006,125
"€ 2,990.-",Suzuki Jimny,"1.3i 16v JLX Airco 4x4/AWD, jantes alu...",207000,02/2000,80
"€ 2,990.-",BMW 318,Baureihe 3 Touring 318d *Isofix*PDC*BC*ALU´s*,334000,07/2008,143
"€ 2,990.-",Opel Meriva,Enjoy+AC+AHK+Alu15Z+Nebel+,149571,04/2004,101
"€ 2,990.-",Volkswagen Caddy,"1.9 TDi CLIM, ATT REMORQUE",231971,06/2007,75
"€ 2,990.-",Toyota Corolla Verso,Verso,157127,06/2003,135
"€ 2,990.-",Mercedes-Benz S 320,Automatik,287227,03/1999,224
"€ 2,990.-",Mercedes-Benz E 320,Automatik ELEGANCE+LEDER+TEMPOMAT,256000,10/1995,220
"€ 2,998.-",Mercedes-Benz S 320,L Leder Xenon Navi e-Sitze Holzausst. Klimaautom S,219400,06/2003,224
"€ 2,999.-",Renault Kangoo,TOM TOM DCI 5 pl *REBUY**,262123,03/2010,68
"€ 2,999.-",Audi A4,AVANT**Rebuy**,270028,06/2004,131
"€ 2,999.-",Volkswagen Passat,"Variant 2,0TSI Sportline+Climatr*Szhz*AHK",200000,03/2008,200
"€ 2,999.-",MINI Cooper,1.6 Seven *Klima*,170000,09/2006,116
"€ 2,999.-",Suzuki Swift,CD/RADIO CABRIO,75000,03/1993,68
"€ 3,000.-",Renault Clio,Grandtour Luxe 1.6 16V 110 Automatik Navi,237000,06/2010,111
"€ 3,180.-",Mazda 2,"Lim. Independence, Klimaanlage, Alu, AHK",110252,01/2010,86
"€ 3,200.-",Peugeot 207,1.6 HDi Urban 99g FAP,143070,10/2010,90
"€ 3,200.-",BMW 116,i*SHZ*PDC*KLIMA,134500,02/2010,122
"€ 3,200.-",Mercedes-Benz SLK 200,Kompressor Special guter Zustand Tüv Neu,299000,11/2001,163
"€ 3,200.-",Volkswagen Golf,V Automatik DSG/Klima,205919,07/2004,105
"€ 3,250.-",Mercedes-Benz E 220,T CDI Avantgarde AUT. GLASDACH TÜV 06-23,304000,04/2004,150
"€ 3,290.-",Mazda 5,Klima / AHK / 12-fach bereift,106950,10/2007,116
"€ 3,377.-",Skoda Fabia,1.4 16V Combi KLIMA~ISOFIX~AUX~RELING~CD,142700,03/2009,86
"€ 3,400.-",Volkswagen Fox,Style CD*MP3*NICHTRAUCHER*ABS*ESP*LM-FELGEN*,155778,08/2011,60
"€ 3,449.-",Ford S-Max,2.0 TDCI Navi+Leder+PDC+SHZ/2.Hd.,273500,08/2007,140
"€ 3,450.-",Hyundai i30,CW 1.6 CRDi 66 kW Style,183450,04/2011,90
"€ 3,470.-",Opel Zafira,B Innovation 1.8 Klimaautom Automatik HÄNDLERFAHRZ,91865,03/2011,140
"€ 3,480.-",MINI Cooper,"Pepper Klimaautomatik,Panorama,Lichtpaket",189500,11/2008,120
"€ 3,489.-",Kia Picanto,Klima,121000,04/2009,65
"€ 3,490.-",Volkswagen Touran,Highline 2.0 TDI *Klima*PDC*Alu,245000,03/2005,140
"€ 3,490.-",BMW X3,2.0d Leder Xenon Navi Kurvenlicht Allrad Holzausst,294500,11/2006,150
"€ 3,490.-",Peugeot 207,"1.4 HDi CLIM, ISOFIX, VE, RADIO CD",99046,05/2010,68
"€ 3,490.-",Renault Kangoo Z.E.,MOTORSCHADEN inkl Batterie,30514,04/2012,60
"€ 3,490.-",Ford Puma,"1.7 - 16V VCT ""nur 31500 Km"" Schaden /Kotflügel",31500,07/1998,125
"€ 3,490.-",Mitsubishi Colt,CZ3 Lim.3 1.1 Inform nur 75 TKM KLIMA TÜV,75700,03/2006,75
