price,car name,variant,mileage,first registration,horse power
"€ 3,499.-",Kia Picanto,1.1 Attract Servo Allwetterreifen 63000 Km,63000,08/2010,65
"€ 3,499.-",Mercedes-Benz B 180,"CDI *KLIMA,PDC,ISOFIX,SHZ*",290262,03/2010,109
"€ 3,500.-",Opel Astra,"H Caravan 1,6-16V Turbo 132 KW Xenon Navi",234749,06/2010,179
"€ 3,500.-",Honda Jazz,1.4i Benzine Autom. - Airco - 5 Deurs - Topstaat!,130618,04/2006,83
"€ 3,500.-",Suzuki Liana,1.6 Comfort Sitzheizung Klima,95000,09/2005,106
"€ 3,500.-",Fiat Punto,"1,4B*Italia sportedition!!REBUY**",135442,04/2012,77
"€ 3,500.-",Suzuki Swift,1.6 Sport Sitzheizung;Klimaanlage;Radio/CD,57998,07/2008,125
"€ 3,500.-",Fiat 500,project,55963,05/1967,-
"€ 3,500.-",BMW 320,3er Coupe Xenon Klimaauto. PDC Tüv+Insp. neu,213000,02/2000,150
"€ 3,550.-",Volkswagen Passat Variant,2.0 TDI Highline Leder Klima,267000,12/2006,140
"€ 3,590.-",Hyundai Getz,1.1 Basis,95500,03/2008,63
"€ 3,590.-",Hyundai Getz,Klima/elektrische FH/ZV/TÜV/ASU Neu,84990,02/2008,67
"€ 3,600.-",Volkswagen Golf,1600cc Benzine Nette wagen start en rijdt goed,247805,04/2008,102
"€ 3,600.-",Opel Tigra,"Cabrio 1,4I*AIRCO*VERWARMDE ZETELS*NAVI*REBUY*",124469,02/2005,90
"€ 3,600.-",Toyota Previa,2.4 Automatik 7-Sitze 17 Zoll Kliaauto.,195000,11/2005,156
"€ 3,650.-",Peugeot 308,95 VTI Filou SHZ~KLIMA~BC~ZV~TFL~ISOFIX~CD,98100,04/2010,95
"€ 3,670.-",Nissan Note,I-Way 1.5 dCI NAVI+AHK+LM+TEMPOMAT+ISOFIX+,166000,04/2010,103
"€ 3,680.-",Opel Tigra,Twin Top Sport 1.4 Klima 16''Alu Garantie,119660,03/2006,90
"€ 3,690.-",Citroen C4,VTi 120 VTR Plus+NAVI+BLUETOOTH+TMC+5-GANG+GE,105000,07/2009,120
"€ 3,698.-",Renault Twingo,1.2 YAHOO * KLIMA Klima,74100,12/2011,75
"€ 3,699.-",Hyundai i30,cw 1.6 Style,174000,05/2009,126
"€ 3,699.-",Honda Accord,"*KLIMA,PDC,LED,MFL,ISOFIX* 2.0 Comfort",174994,06/2004,155
"€ 3,750.-",Mercedes-Benz A 180,CDI Avantgarde+SHZ+KLIMA+TEILLEDER,184500,03/2008,109
"€ 3,750.-",Volkswagen Touran,"1,9 TDI 1.HD Goal Klima*Glasdach*PDC*6Gan",214500,07/2006,105
"€ 3,790.-",BMW 318,Navi/Sitzheizung/Beschreibung lesen!!!,185000,12/2004,143
"€ 3,790.-",Mercedes-Benz E 220,"Automatik, elektr. hub u. Schiebedach",231500,05/1994,150
"€ 3,800.-",Skoda Octavia,"2,0 TDI Combi RS Xenon Leder SHZG",184000,06/2008,170
"€ 3,800.-",Renault Megane,II Cabrio Limited LEDER PDC KLIMA,159425,03/2009,131
"€ 3,850.-",Mercedes-Benz A 140,,146000,10/2002,82
"€ 3,880.-",BMW 520,520d Touring Aut. Panaromadach / Leder,350000,12/2006,177
"€ 3,890.-",Opel Meriva,Cosmo Klimaautomatik/Elektr.FH/CD-Player,74200,11/2003,101
"€ 3,890.-",Suzuki Swift,"1.3i GLX AUTOMATIQUE CLIM, VE #PRET A IMMATRICULER",125399,06/2005,92
"€ 3,890.-",Skoda Fabia,"1.2i Classic CLIM, VE, RADIO CD, MP3 AVEC D. IMM.",114957,01/2010,60
"€ 3,899.-",Lancia Kappa,838 2.4 AHK+Kam+Navi+Freispr+StHzg+Klima,149000,05/1996,175
"€ 3,899.-",Nissan Pixo,,124138,11/2010,68
"€ 3,900.-",Dodge Journey,SXT|NAV|KAMERA|AHK|TV|AUTOMATIK,182000,04/2010,140
"€ 3,900.-",Citroen C3,Airplay,119320,10/2007,73
"€ 3,900.-",Hyundai i10,1.1 Classic Edition Plus ALLWETTERREIFEN*CD*,48525,12/2009,67
"€ 3,900.-",Mercedes-Benz CLK 230,Cabrio Kompressor Avantgarde guter Zustand,180000,12/2001,197
"€ 3,900.-",Jaguar S-Type,2.5 V6 Executive AUTOMATIK*LEDER,176000,12/2002,200
"€ 3,950.-",Peugeot 308,1.6 eHDi Active Klima PDC Sitzheizung Tempomat,215000,08/2011,111
"€ 3,950.-",Mercedes-Benz C 180,T Elegance LEDER XENON PDC SCHIEBEDACH,199361,03/2006,143
"€ 3,950.-",smart forTwo,fortwo 1.0 coupe Pulse*BT*SHZ*Panorama*,115000,09/2007,84
"€ 3,960.-",SEAT Mii,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,93000,02/2016,60
"€ 3,970.-",Volkswagen up!,take 1.0 ESP Servo,124998,01/2013,60
"€ 3,985.-",Toyota Auris,Sol,103350,03/2007,124
"€ 3,985.-",Hyundai Grandeur,3.3 V6,130190,11/2007,235
"€ 3,990.-",Mercedes-Benz E 280,E 280 T CDI. Navi. Sitzh. Xenon. Temp. PDC.,332500,06/2006,190
"€ 3,990.-",smart forTwo,fortwo coupe Micro Hybrid Drive 2.Hd/S-Heft/Klim,64565,05/2010,61
"€ 3,990.-",Peugeot 207,SW Sport Kombi Klima Wenig KM Panorama,87000,09/2007,120
"€ 3,990.-",Audi A2,1.4 Klimaaut. Radio/CD elek. Fensterh.,176200,01/2003,75
"€ 3,990.-",Volkswagen Polo,IV Comfortline 1.4 Automatik Erst 47.000 KM!!!,47000,02/2003,75
"€ 3,990.-",Opel Tigra,Twin Top Sport. PDC. Klima. Teilleder.,161620,05/2003,90
"€ 3,990.-",Toyota Aygo,AYGO - Allwetter,73001,07/2009,68
"€ 3,990.-",Citroen C2,1.6 16V VTS 122 PS+KLIMAAUTOMATIK+CD-RADIO+WINTERR,54500,01/2006,122
"€ 3,990.-",Fiat,Ducato 30 MJ100 L1H1,177796,01/2011,101
"€ 3,990.-",Renault Twingo,Night & Day,88841,06/2009,76
"€ 3,990.-",BMW 316,i Compact Wenig Km Klima Top-Zustand,135000,11/1994,102
"€ 3,990.-",Mercedes-Benz A 180,CDI Classic Facelift Klima Navi MFL,189000,05/2010,109
"€ 3,990.-",Alfa Romeo 155,1.8 Twin Spark Formula*SERVO*EGSD*2.HAND*,85000,02/1995,126
"€ 3,990.-",Lancia Ypsilon,1.2 8V Panorama-Schiebedach. 1. Hand TOP,105100,06/2007,60
"€ 3,990.-",Volkswagen Golf,"IV 1,6 Lim. Aut. Comfortline Schiebedach",122100,05/1999,101
"€ 3,990.-",Peugeot 207,Urban Move - Klima / Leichtmetallfelgen,122414,11/2008,95
"€ 3,991.-",Hyundai i10,1.1 Classic KLIMA~ISOFIX~ZV~USB~AUX~CD~EL.FH,100000,07/2013,69
"€ 3,991.-",Skoda Citigo,1.0 MPI Elegance RADIO~KLIMA~AUX~ISOFIX,134800,06/2012,75
"€ 3,999.-",Peugeot 107,1.0i 12v Trendy TRES PROPRE!!! GARANTIE 1AN!!!,60000,04/2008,68
"€ 3,999.-",SsangYong Actyon,Sports 200 Xdi 4x4 PKW,145080,11/2009,141
"€ 3,999.-",Mercedes-Benz B 200,*Klimaanlage*Sitzheizung* Gern Finanzierung,160000,05/2008,136
"€ 3,999.-",Nissan Pathfinder,2.5 dCi *7Sitzer* *Motorschaden**Allrad,171000,07/2007,171
"€ 3,999.-",Volkswagen Jetta,1.9 TDI Comfortline Klima PDC Tempomat,185000,07/2009,105
"€ 3,999.-",Volkswagen Sharan,"Comfortline 1,9 TDI 1.Hd TüV neu 7-Sitze",230000,12/2002,116
"€ 3,999.-",Ford Fusion,"Style 1,4 TDCI 1. Hand, TüV neu",81000,09/2009,68
"€ 3,999.-",Ford S-Max,"2,0 TDCI 1. Hand TüV neu ideales Hundeauto",182999,11/2007,116
"€ 3,999.-",Toyota Aygo,AYGO Cool KLIMAANLAGE ISOFIX AIRBAG CD/RADIO,60000,01/2010,68
"€ 3,999.-",Peugeot 307,CC 2.0 140 PS Tendance Leder Klima PDC,149917,12/2005,140
"€ 3,999.-",Mercedes-Benz A 180,A 180 CDI 2.0 109 PS Automatik Klima PDC SHZ,207022,05/2010,109
"€ 4,000.-",Mercedes-Benz SLK 200,SLK 230 Kompressor guter Zustand Tüv Neu,200000,05/2000,193
"€ 4,250.-",Hyundai i30,CW 1.6 CRDi Comfort AHK/Klima/Elektr.FH,163310,04/2011,116
"€ 4,271.-",Fiat,Ducato Maxi technisch gut,201500,07/2004,128
"€ 4,280.-",Ford Fiesta,KLIMAANLAGE+ISOFIX *SAMSTAGS BIS 18 UHR*,150000,03/2010,60
"€ 4,290.-",SEAT Mii,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,96689,02/2016,60
"€ 4,380.-",Mazda 2,1.6TD Dynamic .2.Hd. Klimaautom. SHZ TÜV ne,121659,10/2010,90
"€ 4,385.-",Kia Sportage,2.0 CRDi DPF Leder TÜV NEU,210000,01/2007,113
"€ 4,399.-",Hyundai i20,5 Star Edition KLIMA CD/RADIO/AUX ISOFIX,119000,04/2013,86
"€ 4,400.-",SEAT Exeo,2.0 TDi ST Sport Navi/Xenon/Temp/Bose/Shgz,131000,05/2012,143
"€ 4,400.-",Chrysler PT Cruiser,2.4 Turbo GT guter Zustand Tüv Neu,75000,06/2006,223
"€ 4,400.-",BMW 118,I AUTOMATIC LEATHER HEATED SEATS ALLUWHEELS,165894,04/2006,129
"€ 4,444.-",Peugeot 407,"Klimaautomatik,PDC,Tempomat",158200,03/2007,140
"€ 4,450.-",Opel Meriva,Selection+Klima+,112490,07/2010,90
"€ 4,450.-",Audi A3,Sportback 1.9 TDI Attraction Klima PDC Tempomat,250000,07/2009,105
"€ 4,450.-",SEAT Ibiza,SC 1.2 12V 44kW Klima Tüv + Insp. neu,72000,09/2011,60
"€ 4,470.-",Volkswagen Golf,V United BI-XENON+LM-RAEDER+SITZHEIZUNG,186000,02/2008,140
"€ 4,485.-",Honda Accord,2.2i-CTDi Leder Navi Xenon,211000,04/2008,140
"€ 4,485.-",Toyota Avensis,Kombi 2.2 D-CAT Travel,142000,05/2008,177
"€ 4,490.-",BMW 116,AHK/ALU/Klima/Beschreibung Lesen!!!,174900,02/2009,122
"€ 4,490.-",Dacia Sandero,16V Ambiance,149685,04/2016,75
"€ 4,490.-",Others,"""eLizzy Premium"" 25 km/h",150,12/2020,-
"€ 4,500.-",Renault Megane,1.6i Authentique,56752,09/2009,101
"€ 4,500.-",Honda Civic,1.5 elektrisches Schiebedach Radio Servo 66 kW ...,56778,06/1990,90
"€ 4,500.-",Volkswagen Caddy,"Kasten 1,9 TDI 1. Hand, TüV neu",234000,02/2009,75
"€ 4,599.-",Renault Megane,"III 1,2 Limited ***Motorschaden***",85000,04/2015,-
"€ 4,600.-",Skoda Octavia,Combi EDITION COOL KLIMA ZV el. AUßENSPIEGEL + ...,220000,02/2011,122
"€ 4,600.-",Audi A3,Sportback 1.6 Attraction,123000,04/2005,102
"€ 4,640.-",Renault Twingo,1.2 16V SERVOLENKUNG|RADIO|MP3,99756,03/2014,75
"€ 4,690.-",Renault Grand Modus,Dynamique,76762,04/2008,75
"€ 4,699.-",Toyota Avensis,"Combi 2.0 D-4D Navi, PDC, AHK",214000,01/2010,126
"€ 4,700.-",Audi A6,Limousine 2.7 TDI | Navi | Xenon | AHK,178900,03/2006,179
"€ 4,780.-",SEAT Mii,Reference 1.0 RDC ESP Seitenairb. met. TRC Airb AB,66000,02/2016,60
"€ 4,790.-",SEAT Ibiza,Klima ZV Tempomat el. FH + Außenspiegel 77 kW (...,161300,12/2013,105
"€ 4,790.-",Toyota Aygo,Cool 1.0 Klima+Radio+eltr Fensterheber,61791,06/2012,68
"€ 4,790.-",Hyundai i30,1.4 5T 1Hand Klima AHK 1.200 kg - Parktronic,107220,02/2009,109
"€ 4,790.-",Opel Astra,"H ""Cosmo"" Twin Top",146950,06/2007,179
"€ 4,800.-",Ford Transit,Tourneo Pritsche AHK,709000,11/2005,101
"€ 4,850.-",Mazda 2,Lim. 1.5 Impression 5-trg. -Wenig Kilometer!-,53000,10/2007,103
"€ 4,850.-",Peugeot 206,Cabriolet CC Platinum,119158,02/2002,109
"€ 4,870.-",Volkswagen New Beetle,Cabriolet 1.6 Leder,139936,06/2006,102
"€ 4,875.-",Hyundai i10,Classic 1.1 RADIO CD MP3 USB KLIMA USB,59720,02/2011,67
"€ 4,880.-",Ford C-Max,Trend (CB7),170331,11/2011,116
"€ 4,880.-",BMW 320,"d Limousine Klimaaut,Multi-Lenkrad,PDC,1.Hand",262800,09/2007,177
"€ 4,890.-",Volkswagen Golf,1.4 UNITED * Klima * Sitzhzg. * PDC *,107746,02/2008,80
"€ 4,890.-",Renault Megane,II Grandtour Avantage 1.6 16V Keyless Klima CD MP3,30000,05/2009,111
"€ 4,899.-",Mitsubishi Lancer,"1.8 CVT Klima, Alu, Garagenwagen",125000,04/2008,143
"€ 4,899.-",BMW 116,i KLIMAAUTO CD/RADIO/AUX START/STOPP,125000,10/2007,122
"€ 4,900.-",Opel Corsa,1.2i 16V Klima Alu NSW,96668,03/2013,86
"€ 4,900.-",Hyundai iX20,1.6 CRDi | Klima | Alu | Radio/CD | 1. Hand,154000,03/2014,128
"€ 4,900.-",Ford S-Max,1.8D*Ruime gezinswagen*Rebuy,133792,03/2010,125
"€ 4,900.-",Renault ZOE,"Intens Miet-Batterie ab 59,- Bluetooth Navi",118500,12/2013,58
"€ 4,900.-",Jaguar XJ6,XJ 2.7 Liter Diesel Xenon PDC Leder,314651,11/2005,207
"€ 4,945.-",Renault Twizy,Color Batteriemiete FLÜGELTÜREN,26985,04/2012,11
"€ 4,950.-",Mercedes-Benz E 280,T Avantgarde 4Matic*Bose*Sitzlüftung*TOP*,339013,05/2002,204
"€ 4,950.-",Opel Meriva,Klima/Temp./EFH/MP3/CD/TÜV & ASU NEU,105673,09/2011,101
"€ 4,950.-",Peugeot 308,"2.0 HDi Sport*Tempomat*Lichtsensor*16""Alu*",134360,08/2009,136
"€ 4,950.-",Volvo S80,D5 Kinetic Automatik Xenon Navi Klima PDC,310000,04/2008,185
"€ 4,950.-",Volkswagen Jetta,zeer goed verzorgde wagen met garantie,160000,07/2008,105
"€ 4,950.-",MINI Cooper D,1.6 D - PHOTOS A VENIR,168000,06/2009,109
"€ 4,950.-",MINI One Cabrio,Mini One Cabrio*PDC*Leder*Alu*SHZ*nur EXPORT!!!!,126420,03/2006,90
"€ 4,950.-",Renault Clio,Collection 5 Night&Day 1.2 16V 75 eco²,124082,02/2011,75
"€ 4,950.-",Mercedes-Benz E 200,CDI BlueEfficiency*Tempomat*Navi*PDC*SHZ*,324000,04/2011,136
"€ 4,970.-",Opel Meriva,1.4 Color Edition KLIMA~AHK~MFL~GRA~NSW,108000,06/2011,101
"€ 4,975.-",Opel Signum,Sport - Xenon/Navi,157628,10/2003,175
"€ 4,980.-",BMW 116,i*Xenon*PDC*Sitzheizung*Klimaaut.*,164145,09/2008,122
"€ 4,980.-",Mitsubishi Colt,"1.3 ClearTec - Klima, Sitzheizung, Alu",119000,01/2012,95
"€ 4,980.-",Opel Corsa,D 150 Jahre 1.4 Klimaautom. Panorama Lenkradheiz.,117280,06/2012,87
"€ 4,980.-",Mitsubishi Colt,5T. Polar Klima,71000,04/2010,75
"€ 4,985.-",Opel Astra,H Twin Top Cosmo Leder TOPP TÜV NEU,110000,06/2007,116
"€ 4,985.-",BMW 116,i TÜV NEU,119000,12/2008,122
"€ 4,985.-",Volvo S40,Lim. 1.6 D Leder TÜV NEU TOPP,129800,03/2007,109
"€ 4,985.-",Volvo XC70,2.4 T AWD Cross Country LPG-GASANLAGE,341000,01/2001,200
"€ 4,985.-",Citroen C4,Picasso Exclusive Leder WEBASTO TÜV NEU,125000,02/2008,109
"€ 4,986.-",Ford Fiesta,"1.25 Trend Garantie, HU/AU neu, Klima",104124,08/2010,60
"€ 4,990.-",Volkswagen Polo,V Trendline. 8-Fach bereift. BT-AUX. Klima.,143750,05/2010,75
"€ 4,990.-",Opel Corsa,Color Edition,88543,10/2010,87
"€ 4,990.-",Honda Jazz,1.2 Trend,97680,01/2011,90
"€ 4,990.-",Ford Fiesta,Champions Edition,140575,08/2012,82
"€ 4,990.-",Opel Agila,"B 1,2 Edition Autom. ~ Klima ~ MFL ~ PDC",88000,01/2009,86
"€ 4,990.-",Dodge Journey,2.0 CRD SE+KLIMAANLAGE+KINDERSITZVERANKE,155000,06/2009,140
"€ 4,990.-",Ford Fiesta,Fiesta Florida,22800,03/2001,50
"€ 4,990.-",Ford Focus,"Lim. Style 1,6 Klima 2.Hand",102869,07/2009,116
"€ 4,990.-",Volkswagen Golf Variant,"V GTI DSG*Leder*Navigation*LM17""* GTI",192390,01/2007,200
"€ 4,990.-",Volkswagen up!,1.0 load up! Klima/ISO-Fix/RDKS,98000,01/2016,60
"€ 4,990.-",Renault Twingo,EXPRESSION 16V 75 ELEK. FENSTERHEBER,38559,10/2012,75
"€ 4,990.-",Peugeot 607,3.0 V6 Privilege aus 1.Hand Leder Klimaautomatik,104000,04/2001,207
"€ 4,990.-",smart forTwo,Micro Hybrid Drive (52kW) Wenig KM+Klimaaut.+Panor,38566,07/2010,71
"€ 4,990.-",Mercedes-Benz E 320,4-Matic Elegance 3.Hand Leder Comand Xenon SHD AHK,179000,02/2002,224
"€ 4,990.-",Dacia Duster,1.6 Laureate 4x2 Klima+1a gepfelgt+Alu,140283,02/2011,105
"€ 4,990.-",Volkswagen Touran,1.9 TDI Highline Klimaauto. SHZ Navi Temp,235000,01/2008,105
"€ 4,990.-",Toyota Aygo,1.0 VVT-I City*AUT./MULTIMODE*1.HAND*,45000,06/2009,68
"€ 4,990.-",Audi A4,Avant 2.0 TDI,204000,10/2006,140
"€ 4,990.-",SEAT Alhambra,"Reference 7 SITZE KLIMA 85 kW (116 PS), Schalt....",155000,09/2008,116
"€ 4,990.-",Renault Twingo,1.6 16V RS Sport*CUP-SPORT*KLIMA*1.HAND*,140000,11/2009,133
"€ 4,990.-",Peugeot 3008,1.6 HDi ## Toit panoramique ##,191659,01/2011,111
"€ 4,990.-",Ford Fiesta,Trend *ISOFIX*Tüv NEU*Multifunktion*Klima,103431,05/2010,60
"€ 4,990.-",Fiat Scudo,130 Multijet EU5 12 L2H1 DPF Motorschaden !!,178989,05/2014,128
"€ 4,990.-",Saab 99,2.0 GL 5 Speed - schöner Zustand mit AHK,350000,09/1984,101
"€ 4,990.-",Mercedes-Benz C 240,Elegance Automatik Xenon Klima SHZ,97000,08/1998,170
"€ 4,990.-",Volkswagen Passat,CL,99819,08/1987,72
"€ 4,990.-",Mazda 6,Mazda 6 2.2L D / nur an Händler oder Export,182466,03/2012,129
"€ 4,990.-",Alfa Romeo MiTo,"1,4 Klima Start/Stop PDC Temp. BC MFL",115100,12/2009,105
"€ 4,990.-",Renault Clio,"III 1,2 GPS Klima AHK abn. 1.Hand Wenig KM",107300,11/2012,75
"€ 4,990.-",Ford Ka/Ka+,"Ka Titanium 1,2 Start&Stop Winterräder",52370,03/2014,69
"€ 4,999.-",Suzuki Swift,1.3i SPORT!!! TRES BELLE!!!! CLIM!!! GARANTIE 1AN!,60000,06/2009,92
"€ 4,999.-",Lancia MUSA,1.HAND CD/RADIO,70000,07/2010,95
"€ 4,999.-",Peugeot 207,207 1.4 Urban Move 1.Hand Klima 23500 Km Tüv NEU,23500,02/2009,73
"€ 4,999.-",Peugeot 208,Access KLIMA AUX,84882,02/2014,68
"€ 4,999.-",Volvo V70,Kombi Xenon*Klimaautomatik,144000,07/2010,109
"€ 4,999.-",Opel Zafira,B Family/ 7 SITZER,200000,02/2013,110
"€ 4,999.-",Renault Espace,IV Privilege BI-XENON KLIMAAUTO 6-SITZER,179000,04/2008,173
"€ 4,999.-",BMW 520,d Touring XENON NAVI KLIMAAUTO SHZ PANORAMA,276000,06/2009,177
"€ 4,999.-",Peugeot Boxer,HDi (330),360598,12/2009,120
"€ 4,999.-",Alfa Romeo MiTo,1.4 KLIMA *TÜV 04/2023*,95239,01/2010,105
"€ 4,999.-",Toyota iQ,Automatik,102500,09/2009,68
"€ 4,999.-",Volkswagen Golf,6 Plus 1.4TSI 122PS DSG Comfortline SHZ AUX,139231,05/2009,122
"€ 4,999.-",Volkswagen Golf Plus,Golf 6 Plus 1.4TSI 122PS DSG Comfortline SHZ AUX,139231,05/2009,122
"€ 4,999.-",Volkswagen Golf,5 1.6 FSI 116 PS 5 Limo Trendline Klima SHZ,124884,12/2003,116
"€ 4,999.-",Ford Focus,2.0 TDCI 136PS Automatik Turnier Titanium,222933,05/2010,136
"€ 4,999.-",Volkswagen Golf Variant,"IV Variant 1,9 TDI 1. Hand/TüV neu Comfort",109001,01/2007,101
